ID,Name,URL,Type,Feature Type,Output Format,Version,Visible
424,Landebahnpuffer 500m - SicherheitsflÃ¤che,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
425,Landebahnpuffer 150m - Schutzstreifen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
426,Landebahnachsen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
427,Start- und Landebahnen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
428,Flughafen-Punkte,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
430,Flughafenbezugspunkt,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
435,Risikogebiete Sturmflut,https://geodienste.hamburg.de/HH_WMS_Risikogebiete_HW,WMS,,,1.3.0,Yes
436,Risikogebiete Binnenhochwasser,https://geodienste.hamburg.de/HH_WMS_Risikogebiete_HW,WMS,,,1.3.0,Yes
439,Orginalzustand,https://geodienste.hamburg.de/HH_WMS_Bodenrichtwertkarte_1964,WMS,,,1.3.0,Yes
440,Fortschreibung,https://geodienste.hamburg.de/HH_WMS_Bodenrichtwertkarte_1964,WMS,,,1.3.0,Yes
452,Digitale Orthophotos (belaubt) Hamburg,https://geodienste.hamburg.de/HH_WMS_DOP_belaubt,WMS,,,1.3.0,Yes
453,Geobasiskarten (HamburgDE),https://geodienste.hamburg.de/HH_WMS_HamburgDE,WMS,,,1.3.0,Yes
459,2. Finanzamtsbezirke,https://geodienste.hamburg.de/HH_WFS_Finanzamtbezirke,WFS,finanzamtbezirke,XML,1.1.0,Yes
461,Amtsgerichte,https://geodienste.hamburg.de/HH_WFS_Amtsgerichte,WFS,amtsgerichte,XML,1.1.0,Yes
476,Nordsee,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
477,Ostsee,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
478,LÃ¤nder,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
479,DÃ¤nemark,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
482,Niedersachsen,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
483,Schleswig Holstein,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
484,Mecklenburg Vorpommern,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
485,Hamburg,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
486,FlÃ¼sse,https://geodienste.hamburg.de/MRH_WMS_Uebersicht_gruen,WMS,,,1.3.0,Yes
538,Detailskizzen,https://geodienste.hamburg.de/HH_WMS_Kreuzungsskizzen,WMS,,,1.3.0,Yes
539,Poldata Linien,https://geodienste.hamburg.de/HH_WMS_Kreuzungsskizzen,WMS,,,1.3.0,Yes
540,Poldata Texte,https://geodienste.hamburg.de/HH_WMS_Kreuzungsskizzen,WMS,,,1.3.0,Yes
581,PlÃ¤tze,https://geodienste.hamburg.de/HH_WMS_Gruenflaechen,WMS,,,1.3.0,Yes
582,Parkanlagen,https://geodienste.hamburg.de/HH_WMS_Gruenflaechen,WMS,,,1.3.0,Yes
583,SpielplÃ¤tze,https://geodienste.hamburg.de/HH_WMS_Gruenflaechen,WMS,,,1.3.0,Yes
597,GemeindestraÃŸen Beschriftung,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
598,BundesstraÃŸen Freie Strecke,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
599,BAB Beschriftung,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
600,EuropastraÃŸen Beschriftung,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
601,Nullpunkte,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
602,GemeindestraÃŸen,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
604,BAB,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
605,EuropastraÃŸen,https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze,WMS,,,1.3.0,Yes
627,100 Jahre Stadtgruen Icons,https://geodienste.hamburg.de/HH_WMS_Stadtgruen,WMS,,,1.3.0,Yes
628,100 Jahre Stadtgruen Strecke,https://geodienste.hamburg.de/HH_WMS_Stadtgruen,WMS,,,1.3.0,Yes
629,100 Jahre Stadtgruen Umring,https://geodienste.hamburg.de/HH_WMS_Stadtgruen,WMS,,,1.3.0,Yes
639,gruenflaechen_parkanlagen,https://geodienste.hamburg.de/HH_WFS_Gruenflaechen,WFS,gruenflaechen_parkanlagen,XML,1.1.0,Yes
640,gruenflaechen_spielplaetze,https://geodienste.hamburg.de/HH_WFS_Gruenflaechen,WFS,gruenflaechen_spielplaetze,XML,1.1.0,Yes
641,PlÃ¤tze,https://geodienste.hamburg.de/HH_WFS_Gruenflaechen,WFS,plaetze,XML,1.1.0,Yes
671,Grundwasser-Wasserkoerper,https://gs.geronimus.info/geoserver/wfs,WFS,HmbTG_Grundwasser_Wasserkoerper,XML,1.1.0,Yes
672,Oberflaechen-Wasserkoerper,https://gs.geronimus.info/geoserver/wfs,WFS,HmbTG_Oberflaechen_Wasserkoerper,XML,1.1.0,Yes
676,Positivnetz Feldversuch LangLKW,https://geodienste.hamburg.de/HH_WMS_Positivnetz_Feldversuch_LangLKW,WMS,,,1.3.0,Yes
682,KindertagesstÃ¤tten,https://geodienste.hamburg.de/HH_WMS_KitaEinrichtung,WMS,,,1.3.0,Yes
683,KindertagesstÃ¤tten Details,https://geodienste.hamburg.de/HH_WMS_KitaEinrichtung,WMS,,,1.3.0,Yes
685,Einbau Ersatzbaustoffe,https://geodienste.hamburg.de/wms_einbau_ersatzbaustoffe,WMS,,,1.3.0,Yes
686,Grundwasser-Flurabstand Max,https://geodienste.hamburg.de/HH_WMS_Grundwasserschutz,WMS,,,1.3.0,Yes
687,Grundwasser-Flurabstand Min,https://geodienste.hamburg.de/HH_WMS_Grundwasserschutz,WMS,,,1.3.0,Yes
688,Grundwassergleichen Max,https://geodienste.hamburg.de/HH_WMS_Grundwasserschutz,WMS,,,1.3.0,Yes
689,Grundwassergleichen Mittel,https://geodienste.hamburg.de/HH_WMS_Grundwasserschutz,WMS,,,1.3.0,Yes
690,Grundwassergleichen Min,https://geodienste.hamburg.de/HH_WMS_Grundwasserschutz,WMS,,,1.3.0,Yes
717,M100000 (farbig),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten,WMS,,,1.3.0,Yes
718,M60000 (farbig),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten,WMS,,,1.3.0,Yes
719,M20000 (farbig),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten,WMS,,,1.3.0,Yes
720,M5000 (farbig),https://geodienste.hamburg.de/HH_WMS_Geobasiskarten,WMS,,,1.3.0,Yes
