ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
2937;Bundesstraßen Ortsduchfahrt Beschriftung;https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze;WMS;;;1.3.0;Yes;Bundesstraßen Ortsduchfahrt Beschriftung, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2938;Bundesstraßen Freie Strecke Beschriftung;https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze;WMS;;;1.3.0;Yes;Bundesstraßen Freie Strecke Beschriftung, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2939;Bundesstraßen Ortsduchfahrt Beschriftung;https://geodienste.hamburg.de/DE_HH_WFS_INSPIRE_A1_7_Verkehrsnetze;WFS;strassennetz_inspire_bod_beschr;XML;1.1.0;Yes;Bundesstraßen Ortsduchfahrt Beschriftung, bereitgestellt ?ber den WFS-Dienst (Feature-Type: strassennetz_inspire_bod_beschr) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2940;Bundesstraßen Ortsdurchfahrt;https://geodienste.hamburg.de/DE_HH_WFS_INSPIRE_A1_7_Verkehrsnetze;WFS;strassennetz_inspire_bod;XML;1.1.0;Yes;Bundesstraßen Ortsdurchfahrt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: strassennetz_inspire_bod) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2941;XPlanung Bebauungspläne - Rasterdarstellung;https://geodienste.hamburg.de/HH_WMS_Cache_Rasterplan;WMS;;;1.3.0;Yes;XPlanung Bebauungspläne - Rasterdarstellung, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3085;elbeplus_leitungstrassen;https://geodienste.hamburg.de/Test_HH_WFS_ELBEplus_Leitungstrassen;WFS;elbeplus_leitungstrassen;XML;1.1.0;Yes;elbeplus_leitungstrassen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: elbeplus_leitungstrassen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3086;elbeplus_unternehmen;https://geodienste.hamburg.de/Test_HH_WFS_ELBEplus_Leitungstrassen;WFS;elbeplus_unternehmen;XML;1.1.0;Yes;elbeplus_unternehmen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: elbeplus_unternehmen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3140;elbeplus_anfragen;https://geodienste.hamburg.de/Test_HH_WFS_ELBEplus_Anfragen;WFS;elbeplus_anfragen;XML;1.1.0;Yes;elbeplus_anfragen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: elbeplus_anfragen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3158;Elbe+;https://geodienste.hamburg.de/Test_HH_WMS_Anfragegebiete;WMS;;;1.3.0;Yes;Elbe+, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3299;Lage von Stoerfallbetrieben;https://geodienste.hamburg.de/HH_WMS_Stoerfallbetriebe;WMS;;;1.3.0;Yes;Lage von Stoerfallbetrieben, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
